name,summary,age,animal,family,weight,iq
Wilbur,Big scary cat,90.8,Superhero,Malfoys,132.9,71.3
Wilbur,Big scary cat,14.8,Superhero,Malfoys,107.24,100
Fred,Big scary cat,81.8,Tiger,Malfoys,104.42,13.5
Wilbur,Big scary cat,42.8,Superhero,Malfoys,30.05,30.4
Wilbur,Big scary cat,10.8,Superhero,Malfoys,169.69,173.6
Archibold,Big scary cat,79.8,Tiger,Malfoys,123.15,128.3
Archibold,Big scary cat,3.8,Tiger,Malfoys,3.94,43.3
Wendy,Big scary cat,40.8,Superhero,Malfoys,127.33,170.8
Wilbur,Big scary cat,94.8,Superhero,Malfoys,126.04,44.5
Archibold,Big scary cat,55.8,Tiger,Malfoys,154.42,86.5
Wendy,Big scary cat,16.8,Superhero,Malfoys,15.47,17.4
Archibold,Big scary cat,83.8,Tiger,Malfoys,34.65,90.4
Wendy,Big scary cat,44.8,Superhero,Malfoys,195.99,187.3
Fred,Big scary cat,5.8,Tiger,Malfoys,96.39,81
Wendy,Big scary cat,72.8,Superhero,Malfoys,146.19,82.7
Fred,Big scary cat,33.8,Tiger,Malfoys,62.61,122.7
Wilbur,Big scary cat,70.8,Superhero,Malfoys,114.09,17
Fred,Big scary cat,61.8,Tiger,Malfoys,133.25,128.2
Wilbur,Big scary cat,98.8,Superhero,Malfoys,184.72,37.5
Wilbur,Big scary cat,22.8,Superhero,Malfoys,147.05,46.1
Archibold,Big scary cat,59.8,Tiger,Malfoys,192.98,174.9
Wendy,Big scary cat,20.8,Superhero,Malfoys,87.16,70.7
Archibold,Big scary cat,87.8,Tiger,Malfoys,46.44,38.8
Archibold,Big scary cat,11.8,Tiger,Malfoys,141,84.6
Wendy,Big scary cat,48.8,Superhero,Malfoys,77.31,72.2
Fred,Big scary cat,9.8,Tiger,Malfoys,6.43,93.7
Wendy,Big scary cat,76.8,Superhero,Malfoys,42.51,182.6
Fred,Big scary cat,37.8,Tiger,Malfoys,70.23,45.5
Fred,Big scary cat,65.8,Tiger,Malfoys,26.6,16.5
Wilbur,Big scary cat,26.8,Superhero,Malfoys,61.34,131.2
Fred,Big scary cat,93.8,Tiger,Malfoys,49.1,123.7
Archibold,Big scary cat,91.8,Tiger,Malfoys,47.39,63.8
Wilbur,Big scary cat,54.8,Superhero,Malfoys,99.75,163.5
Wendy,Big scary cat,52.8,Superhero,Malfoys,70.19,134.6
Archibold,Big scary cat,15.8,Tiger,Malfoys,48.54,38.7
Fred,Big scary cat,89.8,Tiger,Malfoys,76.15,43.5
Fred,Big scary cat,13.8,Tiger,Malfoys,175.45,179.3
Wilbur,Big scary cat,82.8,Superhero,Malfoys,126.03,109.4
Wilbur,Big scary cat,50.8,Superhero,Malfoys,90.88,48.9
Archibold,Big scary cat,43.8,Tiger,Malfoys,105.77,170.3
Fred,Big scary cat,41.8,Tiger,Malfoys,193.28,156.5
Wendy,Big scary cat,80.8,Superhero,Malfoys,112.79,72.2
Wendy,Big scary cat,4.8,Superhero,Malfoys,141.23,35.2
Wilbur,Big scary cat,78.8,Superhero,Malfoys,164.58,114.7
Wilbur,Big scary cat,2.8,Superhero,Malfoys,125.04,95.6
Archibold,Big scary cat,71.8,Tiger,Malfoys,109.89,125.6
Archibold,Big scary cat,39.8,Tiger,Malfoys,10.85,120.7
Wendy,Big scary cat,32.8,Superhero,Malfoys,102.04,101.6
Fred,Big scary cat,69.8,Tiger,Malfoys,42.48,119.2
Archibold,Big scary cat,67.8,Tiger,Malfoys,200.45,60.3
Wilbur,Big scary cat,30.8,Superhero,Malfoys,19.11,170.9
Wendy,Big scary cat,28.8,Superhero,Malfoys,147.64,68
Archibold,Big scary cat,95.8,Tiger,Malfoys,104.2,196.9
Wendy,Big scary cat,56.8,Superhero,Malfoys,82.87,97
Fred,Big scary cat,17.8,Tiger,Malfoys,188.63,129.6
Wendy,Big scary cat,84.8,Superhero,Malfoys,5.5,175.9
Fred,Big scary cat,45.8,Tiger,Malfoys,37.1,110.8
Wilbur,Big scary cat,6.8,Superhero,Malfoys,18.67,98.4
Fred,Big scary cat,73.8,Tiger,Malfoys,2.39,105.4
Wilbur,Big scary cat,34.8,Superhero,Malfoys,67.52,91.5
Wilbur,Big scary cat,62.8,Superhero,Malfoys,124.22,109.1
Archibold,Big scary cat,99.8,Tiger,Malfoys,104.79,104.1
Archibold,Big scary cat,23.8,Tiger,Malfoys,14.78,179.8
Wendy,Big scary cat,60.8,Superhero,Malfoys,95.79,40.9
Archibold,Big scary cat,51.8,Tiger,Malfoys,39.1,152.8
Wendy,Big scary cat,88.8,Superhero,Malfoys,106.72,150.5
Wendy,Big scary cat,12.8,Superhero,Malfoys,68.41,114.5
Fred,Big scary cat,49.8,Tiger,Malfoys,169.85,137.3
Wilbur,Big scary cat,10.8,Superhero,Malfoys,60.43,48.4
Fred,Big scary cat,77.8,Tiger,Malfoys,69.08,184.4
Fred,Big scary cat,1.8,Tiger,Malfoys,76.11,60
Wilbur,Big scary cat,38.8,Superhero,Malfoys,199.49,151.3
Wilbur,Big scary cat,66.8,Superhero,Malfoys,25.3,32.9
Archibold,Big scary cat,27.8,Tiger,Malfoys,187.86,179.1
Wilbur,Big scary cat,94.8,Superhero,Malfoys,125.3,69.1
Archibold,Big scary cat,83.8,Tiger,Malfoys,48.59,132.5
Fred,Big scary cat,81.8,Tiger,Malfoys,165.91,92.1
Wilbur,Big scary cat,42.8,Superhero,Malfoys,39.56,102.3
Archibold,Big scary cat,79.8,Tiger,Malfoys,26.37,192.1
Archibold,Big scary cat,3.8,Tiger,Malfoys,161.69,10.6
Wendy,Big scary cat,72.8,Superhero,Malfoys,173.51,177.5
Wendy,Big scary cat,40.8,Superhero,Malfoys,182.17,198.7
Archibold,Big scary cat,31.8,Tiger,Malfoys,171.5,194.9
Wendy,Big scary cat,68.8,Superhero,Malfoys,137.45,17.9
Fred,Big scary cat,61.8,Tiger,Malfoys,150.34,57.8
Fred,Big scary cat,29.8,Tiger,Malfoys,35.48,46.2
Wilbur,Big scary cat,98.8,Superhero,Malfoys,76.95,110.1
Wendy,Big scary cat,96.8,Superhero,Malfoys,43.52,118.4
Fred,Big scary cat,57.8,Tiger,Malfoys,138.65,55.1
Wilbur,Big scary cat,18.8,Superhero,Malfoys,86.73,10.4
Fred,Big scary cat,85.8,Tiger,Malfoys,114.61,127.9
Wilbur,Big scary cat,46.8,Superhero,Malfoys,114.12,119.3
Archibold,Big scary cat,7.8,Tiger,Malfoys,163.05,58.5
Wilbur,Big scary cat,74.8,Superhero,Malfoys,191.06,111.5
Archibold,Big scary cat,35.8,Tiger,Malfoys,111.79,118.3
Archibold,Big scary cat,63.8,Tiger,Malfoys,195.61,158.4
Wendy,Big scary cat,100.8,Superhero,Malfoys,4.34,184.8
Wendy,Big scary cat,24.8,Superhero,Malfoys,56.94,54.5
Archibold,Big scary cat,91.8,Tiger,Malfoys,17.98,115.5
Wendy,Big scary cat,52.8,Superhero,Malfoys,182.06,166.7
Fred,Big scary cat,89.8,Tiger,Malfoys,7.07,67.2
Fred,Big scary cat,13.8,Tiger,Malfoys,15.79,58.8
Wilbur,Big scary cat,50.8,Superhero,Malfoys,73.72,110.1
Fred,Big scary cat,41.8,Tiger,Malfoys,37.05,81.9
Wilbur,Big scary cat,78.8,Superhero,Malfoys,132.3,183
Wilbur,Big scary cat,2.8,Superhero,Malfoys,106.23,43.8
Wendy,Big scary cat,76.8,Superhero,Malfoys,34.2,45.8
Archibold,Big scary cat,39.8,Tiger,Malfoys,111.71,2.5
Fred,Big scary cat,37.8,Tiger,Malfoys,200.58,47.5
Archibold,Big scary cat,67.8,Tiger,Malfoys,148.79,78.8
Fred,Big scary cat,65.8,Tiger,Malfoys,142.77,177.2
Wendy,Big scary cat,28.8,Superhero,Malfoys,105.29,54.1
Wilbur,Big scary cat,26.8,Superhero,Malfoys,158.57,70.7
Archibold,Big scary cat,95.8,Tiger,Malfoys,101.1,173.4
Fred,Big scary cat,93.8,Tiger,Malfoys,154.93,192.5
Wendy,Big scary cat,56.8,Superhero,Malfoys,135.7,50
Wilbur,Big scary cat,54.8,Superhero,Malfoys,72.58,176.1
Fred,Big scary cat,17.8,Tiger,Malfoys,170.94,111.8
Archibold,Big scary cat,15.8,Tiger,Malfoys,52.36,155
Wilbur,Big scary cat,82.8,Superhero,Malfoys,111.6,40.7
Archibold,Big scary cat,43.8,Tiger,Malfoys,196.35,8.1
Wendy,Big scary cat,80.8,Superhero,Malfoys,91.88,109.9
Wendy,Big scary cat,4.8,Superhero,Malfoys,34.15,101.4
Archibold,Big scary cat,71.8,Tiger,Malfoys,1.89,15
Wendy,Big scary cat,32.8,Superhero,Malfoys,141.87,142.9
Fred,Big scary cat,69.8,Tiger,Malfoys,137.47,181.5
Wilbur,Big scary cat,30.8,Superhero,Malfoys,198.67,170.1
Fred,Big scary cat,97.8,Tiger,Malfoys,153.52,163.6
Fred,Big scary cat,21.8,Tiger,Malfoys,132.79,49.1
Wilbur,Big scary cat,58.8,Superhero,Malfoys,151.37,44.8
Archibold,Big scary cat,19.8,Tiger,Malfoys,182.36,183.5
Wilbur,Big scary cat,86.8,Superhero,Malfoys,138.61,42
Archibold,Big scary cat,47.8,Tiger,Malfoys,155.01,147.5
Wendy,Big scary cat,8.8,Superhero,Malfoys,87.77,126.4
Archibold,Big scary cat,71.8,Tiger,Malfoys,156.84,120.8
Archibold,Big scary cat,75.8,Tiger,Malfoys,188.47,9.1
Wendy,Big scary cat,36.8,Superhero,Malfoys,74.9,65.9
Wendy,Big scary cat,64.8,Superhero,Malfoys,170.54,155.1
Fred,Big scary cat,97.8,Tiger,Malfoys,93.73,110.7
Fred,Big scary cat,25.8,Tiger,Malfoys,109.8,117.4
Fred,Big scary cat,53.8,Tiger,Malfoys,60.72,162.3
Wilbur,Big scary cat,86.8,Superhero,Malfoys,192.19,47.4
Wilbur,Big scary cat,90.8,Superhero,Malfoys,166.37,107.3
Wilbur,Big scary cat,14.8,Superhero,Malfoys,58.02,36.9
Archibold,Big scary cat,75.8,Tiger,Malfoys,145.27,19.1
Wendy,Big scary cat,64.8,Superhero,Malfoys,145.33,47.3
Wendy,Big scary cat,92.8,Superhero,Malfoys,82.96,10.9
Fred,Big scary cat,53.8,Tiger,Malfoys,63.41,34.7
Wilbur,Big scary cat,90.8,Superhero,Malfoys,122.88,164.6
Fred,Big scary cat,81.8,Tiger,Malfoys,71.35,35
Wilbur,Big scary cat,42.8,Superhero,Malfoys,27.66,48
Archibold,Big scary cat,79.8,Tiger,Malfoys,132.01,182
Archibold,Big scary cat,31.8,Tiger,Malfoys,198.32,151.3
Wendy,Big scary cat,68.8,Superhero,Malfoys,165.68,20.7
Wilbur,Big scary cat,66.8,Superhero,Malfoys,142.36,25.1
Archibold,Big scary cat,27.8,Tiger,Malfoys,100.51,150.5
Wendy,Big scary cat,96.8,Superhero,Malfoys,104.06,76.5
Wilbur,Big scary cat,94.8,Superhero,Malfoys,164.1,45.3
Fred,Big scary cat,57.8,Tiger,Malfoys,18.02,141.1
Archibold,Big scary cat,55.8,Tiger,Malfoys,131.96,153.6
Wendy,Big scary cat,16.8,Superhero,Malfoys,46.48,126.3
Fred,Big scary cat,85.8,Tiger,Malfoys,35.37,95.5
Archibold,Big scary cat,83.8,Tiger,Malfoys,102.51,190.1
Wilbur,Big scary cat,46.8,Superhero,Malfoys,167.18,69.3
Wendy,Big scary cat,44.8,Superhero,Malfoys,96.87,120.4
Fred,Big scary cat,5.8,Tiger,Malfoys,130.91,51.8
Wendy,Big scary cat,72.8,Superhero,Malfoys,125.35,100.9
Fred,Big scary cat,33.8,Tiger,Malfoys,173.24,189.2
Wilbur,Big scary cat,70.8,Superhero,Malfoys,98.71,93.2
Fred,Big scary cat,61.8,Tiger,Malfoys,31.62,84
Wilbur,Big scary cat,98.8,Superhero,Malfoys,115.51,91.8
Wilbur,Big scary cat,22.8,Superhero,Malfoys,75.57,198.5
Archibold,Big scary cat,59.8,Tiger,Malfoys,102.84,79.2
Wendy,Big scary cat,20.8,Superhero,Malfoys,163.83,184.6
Archibold,Big scary cat,87.8,Tiger,Malfoys,102.23,8.3
Archibold,Big scary cat,11.8,Tiger,Malfoys,77.35,134.1
Wendy,Big scary cat,48.8,Superhero,Malfoys,4.34,197.5
Fred,Big scary cat,9.8,Tiger,Malfoys,124.24,118.8
Wendy,Big scary cat,76.8,Superhero,Malfoys,89.8,90.1
Fred,Big scary cat,37.8,Tiger,Malfoys,190.06,36.8
Fred,Big scary cat,65.8,Tiger,Malfoys,28,65.7
Archibold,Big scary cat,63.8,Tiger,Malfoys,89.59,158.9
Wilbur,Big scary cat,26.8,Superhero,Malfoys,116.04,108.7
Wendy,Big scary cat,100.8,Superhero,Malfoys,111.75,19.3
Wendy,Big scary cat,24.8,Superhero,Malfoys,114.11,52.7
Fred,Big scary cat,93.8,Tiger,Malfoys,104.55,69
Wilbur,Big scary cat,54.8,Superhero,Malfoys,159.98,55.2
Wendy,Big scary cat,52.8,Superhero,Malfoys,32.46,154.3
Archibold,Big scary cat,15.8,Tiger,Malfoys,54.64,139.2
Fred,Big scary cat,89.8,Tiger,Malfoys,199.79,43.8
Fred,Big scary cat,13.8,Tiger,Malfoys,5.25,36.8
Wilbur,Big scary cat,82.8,Superhero,Malfoys,101.04,2.2
Wilbur,Big scary cat,50.8,Superhero,Malfoys,90.74,20.1
Archibold,Big scary cat,43.8,Tiger,Malfoys,35.89,106.5
Fred,Big scary cat,41.8,Tiger,Malfoys,60.68,109.5
Wendy,Big scary cat,80.8,Superhero,Malfoys,132.04,12.6
Wendy,Big scary cat,4.8,Superhero,Malfoys,192.63,4.3
Wilbur,Big scary cat,78.8,Superhero,Malfoys,19.19,131.3
Wilbur,Big scary cat,2.8,Superhero,Malfoys,21.41,190.1
Archibold,Big scary cat,39.8,Tiger,Malfoys,136.86,141.2
Archibold,Big scary cat,67.8,Tiger,Malfoys,8.03,168.6
Wendy,Big scary cat,28.8,Superhero,Malfoys,2.69,58.3
Wendy,Big scary cat,56.8,Superhero,Malfoys,72.48,36
Fred,Big scary cat,17.8,Tiger,Malfoys,100.35,131.7
Fred,Big scary cat,45.8,Tiger,Malfoys,154.07,33.1
Wilbur,Big scary cat,6.8,Superhero,Malfoys,37.98,148.7
Wilbur,Big scary cat,34.8,Superhero,Malfoys,56.43,77.8
Archibold,Big scary cat,95.8,Tiger,Malfoys,4.74,121.8
Archibold,Big scary cat,23.8,Tiger,Malfoys,28.09,160.6
Wendy,Big scary cat,56.8,Superhero,Malfoys,141.47,160.6
Wendy,Big scary cat,60.8,Superhero,Malfoys,12.55,27.3
Wendy,Big scary cat,84.8,Superhero,Malfoys,1.8,160.4
Wendy,Big scary cat,12.8,Superhero,Malfoys,27.58,138.1
Fred,Big scary cat,45.8,Tiger,Malfoys,54.73,111.1
Fred,Big scary cat,49.8,Tiger,Malfoys,115.12,86.6
Wilbur,Big scary cat,10.8,Superhero,Malfoys,189.74,51.7
Fred,Big scary cat,73.8,Tiger,Malfoys,26.93,72
Fred,Big scary cat,1.8,Tiger,Malfoys,75.69,136.2
Wilbur,Big scary cat,34.8,Superhero,Malfoys,82.77,26.5
Wilbur,Big scary cat,38.8,Superhero,Malfoys,54.91,49.8
Wilbur,Big scary cat,62.8,Superhero,Malfoys,162.58,121.6
Archibold,Big scary cat,99.8,Tiger,Malfoys,181.64,71.7
Archibold,Big scary cat,23.8,Tiger,Malfoys,18.84,86.9
Wendy,Big scary cat,60.8,Superhero,Malfoys,81.14,9.4
Archibold,Big scary cat,51.8,Tiger,Malfoys,76.47,163.2
Wendy,Big scary cat,88.8,Superhero,Malfoys,133.94,188.9
Wendy,Big scary cat,12.8,Superhero,Malfoys,130.27,82.5
Fred,Big scary cat,49.8,Tiger,Malfoys,123.36,44.4
Fred,Big scary cat,77.8,Tiger,Malfoys,111.52,181.1
Fred,Big scary cat,1.8,Tiger,Malfoys,119.11,153.9
Wilbur,Big scary cat,38.8,Superhero,Malfoys,39.56,55.4
Wilbur,Big scary cat,66.8,Superhero,Malfoys,69.95,182.5
Archibold,Big scary cat,27.8,Tiger,Malfoys,138.18,102.1
Wilbur,Big scary cat,94.8,Superhero,Malfoys,10.73,187.1
Wendy,Big scary cat,92.8,Superhero,Malfoys,78.39,42.9
Archibold,Big scary cat,55.8,Tiger,Malfoys,46.45,67
Fred,Big scary cat,53.8,Tiger,Malfoys,105.1,127.3
Wendy,Big scary cat,16.8,Superhero,Malfoys,103.78,154.5
Wilbur,Big scary cat,90.8,Superhero,Malfoys,147.16,79.1
Wilbur,Big scary cat,14.8,Superhero,Malfoys,105.71,154.9
Archibold,Big scary cat,83.8,Tiger,Malfoys,117.15,168.3
Fred,Big scary cat,81.8,Tiger,Malfoys,140.47,143.7
Wendy,Big scary cat,44.8,Superhero,Malfoys,117.79,64.8
Wilbur,Big scary cat,42.8,Superhero,Malfoys,133.33,110.9
Fred,Big scary cat,5.8,Tiger,Malfoys,140.49,46.7
Archibold,Big scary cat,79.8,Tiger,Malfoys,188.65,12.8
Archibold,Big scary cat,3.8,Tiger,Malfoys,180.82,65.4
Wendy,Big scary cat,72.8,Superhero,Malfoys,59.13,48.6
Wendy,Big scary cat,40.8,Superhero,Malfoys,146.18,93.3
Fred,Big scary cat,33.8,Tiger,Malfoys,30.96,166.2
Archibold,Big scary cat,31.8,Tiger,Malfoys,112.3,178.9
Wilbur,Big scary cat,70.8,Superhero,Malfoys,102.24,9.5
Wendy,Big scary cat,68.8,Superhero,Malfoys,103.26,187.6
Fred,Big scary cat,29.8,Tiger,Malfoys,67.99,195.8
Wendy,Big scary cat,96.8,Superhero,Malfoys,179.89,135.7
Fred,Big scary cat,57.8,Tiger,Malfoys,195.85,149.2
Wilbur,Big scary cat,18.8,Superhero,Malfoys,112.54,99.8
Fred,Big scary cat,85.8,Tiger,Malfoys,92.31,159.7
Wilbur,Big scary cat,46.8,Superhero,Malfoys,185.84,30
Archibold,Big scary cat,7.8,Tiger,Malfoys,51.84,40.2
